comment,label
bharat aman ka qaatil hai,A
story whi poorani ruposh wali ha on record agay yhi kamiyar shadi tak lakar aria chordega just for sake of revenge uske bad everybody knows whole story,NA
in haramzadon per hamaray paisey kharch nahi honay chahiyen,A
astagfirullah allah allah kesy dramay bntay ja rhy han pakistani dramaz mujhe to yakin he ni aya ye pakistani drama dekh rhi hon behayai arooj pe ja rhi ha allah maff kry,NA
shehbaz sharif tum woh nahi ho jo bn ke dikha rahey ho,A
pakistan mein tamam tv channels gahashi promote ker rahey hein,A
bohot acca he ai drama,NA
zardari kutta sab se bara lootera hai,A
chal teri maa ka bhosada,A
thank you wish you same,NA
same boring story larki badtamez larke achi lagri kiya achai badtamez larki,NA
bhenchodo cricket ki tweets mat kro,A
amreeka aur israel donon maa k loray hain,A
karachi mein qabzah mafia ke khilaf crackdown ke naam per ghareebon ki jhuggiyan urra di gayen,A
karachi ke kachrey per siyasat mayor wasim akhtar ka bara u turn mustafa kamal ko eik din baad hi post se farigh ker diya,A
bharat ne corona virus ka zimmeydaar musalmanon ko thehraya hai,A
baap apni hi choti beti k sath ghalt harkat krty huay pakra geya,A
bilawal ka pura khandaan ghaddar tha aur ye us ghaddar khoon ki ghaddar olaad hai jo mulk torney ki baat kerta hai,A
amreeka ka aman mukhalif muakkaf dunya ko nazar aye ga aur muzakraat muattal kernay ka zayada nuqsan amreeka ko hi hoga,A
kon kon isko sunday din me dekta hay,NA
karachi se kachra na uthaya ja saka jagah jagah kachrey ke dhair aur ganda pani khara hai,A
ye aurat chand gutter dimagh mardon ke kamon ki wajah se sab ko bura bhala keh rahi hai,A
meray samney bakwas kernay se behter hai tum dil laga ker apni parhai karo,A
i m wachting,NA
10 foji shaheed ho gaye tweet nai aaya madam ka baap k pait mein gas b ho jaye to qomi masla bna deti hai,A
whos watching december,NA
finally a new one with an interesting story,NA
not liking his bad boy role,NA
ameen summa ameen,NA
jo loh drame den bat karate wo na kare den chenal hi ye q guna kar ho,NA
sab jantey hein k chinese choti luli waley hotey hein,A
